label,plant_name,disease,reason,solution,symptoms,medicine
bean__bean_spot,콩,점무늬병,콩 점무늬병은 주로 광선염바이러스와 같은 바이러스나 점무늬균과 같은 균류에 의해 유발됩니다.,"이 병의 해결법으로는감염의 가능성이 있는 지역에서 다른 작물과의 접촉을 최소화하고, 토양의 수분을 적절히 유지하며 물이 효과적으로 배출되도록 하는 것입니다. 또는 항균제를 사용하여 균류에 의한 감염을 예방하거나 제어할 수 있습니다.","이 질병의 주요 증상은 콩 잎에 작고 검은 또는 갈색의 점무늬가 나타나거나, 잎이 황색 또는 갈색으로 변하거나 성장이 억제되는 것입니다. ","티오파네이트-메틸, 벤조비아졸린, 디메토모르프, 클로로타니리혼"
bean__blight,콩,콩불마름병,콩불마름병은 곰팡이인 Phytophthora sojae에 의해 발생하는 병해입니다. 이 곰팡이는 습하고 온도가 높은 환경에서 잘 발생합니다.,"콩불마름병을 해결하기 위해서는 병든 식물은 제거하고 소각해야합니다. 그리고 습도를 낮추기 위해 배수를 잘 하고, 통풍을 시켜야 합니다. 또한 질소질 비료를 과용하지 않아야 하며 발병 초기에 약제를 살포해야합니다.","콩불마름병은 잎, 줄기, 콩깍지, 콩알에 발생합니다. 잎에 발생하면 처음에는 작은 반점이 생기다가 점차 확대되어 잎 전체가 마르게 됩니다. 줄기에 발생하면 줄기가 갈색으로 변하고 썩게 됩니다. 콩깍지에 발생하면 콩깍지가 갈색으로 변하고 썩게 됩니다. 콩알에 발생하면 콩알이 갈색으로 변하고 썩게 됩니다.","메타라크실,
벤타조시아졸,
프로피코나졸"
bean__brown_spot,콩,갈색무늬병,콩 갈색무늬병은 Colletotrichum spp.와 같은 균류에 의해 발생하는 병해입니다. 이 곰팡이는 습하고 온도가 높은 환경에서 잘 발생합니다.,콩 갈색무늬병을 해결하기 위해서는 토양의 너무 과다한 습기를 피하기 위해 적절한 배수를 유지하고 토양을 적절히 소독하여 균류의 번식을 억제해야합니다. ,콩 갈색무늬병에 감염되면 식물의 잎이나 줄기에 갈색 반점이 나타나고 식물의 종두 부분이 부패하고 검게 변할 수 있습니다. 또한 감염된 식물은 전반적으로 위축되고 성장이 억제됩니다.,"지오판수화제, 베노밀 수화제, 비타놀 수화제, 쿠퍼수화제"
bean__healthy,콩,정상,,,,
corn__common_rust,옥수수,옥수수황화병,"이 질병은 옥수수 작물에서 발생하는 질병 중 하나입니다. 황화병은 Puccinia 속의 잎갈병균에 의해 유발되며, 습도가 높은 환경에서 발생할 가능성이 높습니다. 황화병은 옥수수 잎에 황색에서 갈색까지의 반점을 형성합니다. 이러한 반점들은 작물의 광합성을 감소시키고 수확량을 감소시킬 수 있습니다.","잎곰팡이병을 해결하기 위해서는 병든 식물은 제거하여 소각하고,
습도를 낮추기 위해 배수를 잘 하고, 통풍을 시켜야 합니다. 또한 
질소질 비료를 과용하지 않아야 하고, 발병 초기부터 약재를 사용해야합니다.","옥수수황화병은 잎, 줄기, 옥수수알맹이에 발생합니다. 잎에 발생하면 잎에 황색 또는 갈색의 반점이 생기다가 점차 확대되어 잎 전체가 썩게 됩니다. 줄기에 발생하면 줄기가 썩게 됩니다. 옥수수알맹이에 발생하면 옥수수알맹이가 썩게 됩니다.

적합한 약","티오파네이트-메틸, 벤조비아졸린, 디메토모르프, 클로로타니리혼"
corn__gray_spot,옥수수,회색반점병,"옥수수 회색 반점병은 Cercospora zeae-maydis라는 곰팡이균에 의해 발생하는 병으로, 잎에 회색 반점이 생기고, 심한 경우 잎이 마르고 떨어집니다. 옥수수 회색 반점병은 습하고 온화한 기후에서 발생하기 쉽고, 옥수수 재배 지역에서 흔히 발생하는 병입니다","옥수수 회색 반점병을 예방하기 위해서는 균의 전염을 막는 것이 중요합니다. 따라서 옥수수 밭 주변의 잡초를 제거하고, 옥수수 수확 후에는 밭을 소독하는 것이 좋습니다.","옥수수회색반점병은 잎, 줄기, 옥수수알맹이에 발생합니다. 잎에 발생하면 잎에 회색 또는 갈색의 반점이 생기다가 점차 확대되어 잎 전체가 썩게 됩니다. 줄기에 발생하면 줄기가 썩게 됩니다. 옥수수알맹이에 발생하면 옥수수알맹이가 썩게 됩니다.","티오파네이트-메틸, 벤조비아졸린, 디메토모르프, 클로로타니리혼"
corn__healthy,옥수수,정상,,,,
green_onion__black_spot,파,검은무늬병,"파 검은무늬병은 곰팡이인 Alternaria porri에 의해 발생하는 병해입니다. 이 곰팡이는 파의 잎, 줄기, 뿌리에 피해를 줍니다.","파 검은무늬병을 방제하기 위해서는 병든 식물을 소각하고, 습도를 낮추기 위해 배수를 잘하고 통풍을 시켜야 합니다. 그리고 질소질 비료를 과용하지 않고 발병 초기 약제를 살포해야 합니다.","파 검은무늬병은 잎, 줄기, 뿌리에 발생합니다. 잎에 발생하면 잎에 검은색의 무늬가 생기다가 점차 확대되어 잎 전체가 썩게 됩니다. 줄기에 발생하면 줄기가 썩게 됩니다. 뿌리에 발생하면 뿌리가 썩게 됩니다.","티오파네이트-메틸, 벤조비아졸린, 디메토모르프, 클로로타니리혼"
green_onion__downy_mildew,파,파노균병,"파 노균병은 곰팡이인 Botrytis cinerea에 의해 발생하는 병해입니다. 이 곰팡이는 파의 잎, 줄기, 꽃, 열매 등에 피해를 줍니다.","파 노균병을 방제하기 위해서는 병든 식물을 소각하고, 습도를 낮추기 위해 배수를 잘하고 통풍을 시켜야 합니다. 그리고 질소질 비료를 과용하지 않고 발병 초기 약제를 살포해야 합니다.","파 노균병은 잎, 줄기, 꽃, 열매 등에 발생합니다. 잎에 발생하면 잎에 갈색 또는 검은색의 반점이 생기다가 점차 확대되어 잎 전체가 썩게 됩니다. 줄기에 발생하면 줄기가 썩게 됩니다. 꽃에 발생하면 꽃이 시들고 떨어집니다. 열매에 발생하면 열매가 썩게 됩니다.","티오파네이트-메틸, 벤조비아졸린, 디메토모르프, 클로로타니리혼"
green_onion__healthy,파,정상,,,,
